ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region2,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,ESP,Spain,Coslada,25.87195682,2014,1 Urban-Traffic,Measured,13.28557929,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.43,-3.54583,94341,High income,Eur_HI,2018,1 old database,0.994063927,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Coslada,26.42296037,2015,1 Urban-Traffic,Measured,13.56852663,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.43,-3.54583,94341,High income,Eur_HI,2018,1 old database,0.979452055,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Coslada,22.42167011,2016,1 Urban-Traffic,Measured,11.51381312,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.43,-3.54583,94341,High income,Eur_HI,2018,1 old database,0.989754098,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Cuadros,9.79634373,2013,1 Rural-Industrial,Measured,5.030547255,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.71555555,-5.63888888,1998,High income,Eur_HI,2018,1 old database,0.980365297,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Cuadros,10.69440907,2014,1 Rural-Industrial,Measured,5.491715243,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.71555555,-5.63888888,1998,High income,Eur_HI,2018,1 old database,0.986187215,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Cuadros,12.82555991,2015,1 Rural-Industrial,Measured,6.586088338,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.71555555,-5.63888888,1998,High income,Eur_HI,2018,1 old database,0.988812785,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Cuadros,9.95262189,2016,1 Rural-Industrial,Measured,5.11079808,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.71555555,-5.63888888,1998,High income,Eur_HI,2018,1 old database,0.989981785,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Cuenca,26.98918726,2016,1 Urban-Background,Measured,13.85929135,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.06185,-2.12972,56472,High income,Eur_HI,2018,1 manual,0.958105647,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Cuevas Del Almanzora,27.43937534,2013,"1 Rural-Industrial, 1 Suburban-Industrial",Measured,14.09046866,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],37.2536,-1.776285,13737,High income,Eur_HI,2018,2 old database,0.935616439,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Donostia,15.82208588,2012,1 Urban-Traffic,Measured,8.124842582,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.30944444,-2.01111111,185512,High income,Eur_HI,2018,1 manual,0.890710383,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Donostia,12.29299363,2013,1 Urban-Traffic,Measured,6.312608771,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.30944444,-2.01111111,185512,High income,Eur_HI,2018,1 manual,0.860273973,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Donostia,19.90235155,2014,"1 Urban-Background, 3 Urban-Traffic",Measured,8.29656012,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.31111111,-1.991736108,185512,High income,Eur_HI,2018,4 manual,0.9152207,0.910331051,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,Donostia,16.73221827,2015,"1 Urban-Background, 2 Urban-Traffic",Measured,8.479274,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.31166666,-1.985277773,185512,High income,Eur_HI,2018,3 manual,0.963394216,0.974885845,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,Donostia,16.08954719,2016,"1 Urban-Background, 2 Urban-Traffic",Measured,7.5330762,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.31166666,-1.985277773,185512,High income,Eur_HI,2018,3 manual,0.948049484,0.974043716,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,Dulantzi,14.3488045,2014,1 Suburban-Background,Measured,7.368293832,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.84916666,-2.47722222,23822,High income,Eur_HI,2018,1 calculated,0.973972603,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Dulantzi,16.07381924,2015,1 Suburban-Background,Measured,8.254110868,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.84916666,-2.47722222,23822,High income,Eur_HI,2018,1 calculated,0.978881279,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
